გამოსხივება	გამო სხივ ებ ა
ნაწარმოებიდან	ნა წარმო ები დან
ასპექტის	ა სპექტ ის
მოწმობაში	მოწმ ობაში
მაგენის	მა გენ ის
გამოვიყენებო	გამო ვი ყენებ ო
ნაწილდებოდა	ნაწილ დ ებოდა
წუთას	წუთ ას
ქიმიკოსის	ქიმი კოს ის
ბალზაკს	ბალზაკ ს
იუკარი	იუ კარი
რაზედაც	რა ზე დაც
წელსა	წელ სა
მებაღეობა	მებაღე ობა
ფორმულაში	ფორმულ აში
ზარი	ზარ ი
სპეციფიკურ	სპეციფ იკურ
ხრტილოვანი	ხრ ტილო ვანი
იტალიელ	იტალი ელ
რქოვანი	რქ ოვანი
მიაკვლიეს	მიაკვლი ეს
მოღვაწეების	მო ღვაწე ების
სპარსულ	სპარ სულ
ექიმები	ექიმ ები
ქანი	ქან ი
შესაპყრობად	შესა პყრობ ად
უღირსი	უ ღირს ი
გამგზავრებულიყო	გა მგზავრ ებულ იყო
ეცხოვრა	ე ცხოვრ ა
თურქი	თურქ ი
განეკუთვნება	განე კუთვნ ება
ფორტეპიანოს	ფორტ ეპიანო ს
კუბოში	კუბ ოში
კვალად	კვალ ად
სასრული	ს ა სრულ ი
უწევს	უწევ ს
ღონეს	ღონ ეს
კლარჯეთის	კლარჯ ეთის
უგონოდ	უგონო დ
ავტომობილთა	ავტო მობილ თა
