იტალიასთან	იტალ ი ასთან
დისტრიბუციის	დის ტრიბუცი ის
მარადისობის	მარად ის ობის
განსხვავებულია	გან სხვავებ ულია
არმინ	არმი ნ
ტირანი	ტი რანი
ორშაბათს	ორ შაბათ ს
ფიჭვის	ფი ჭვ ის
ტიტანი	ტი ტან ი
ემბრიოლოგიის	ემბრი ოლოგი ის
ეროვნებით	ე როვნ ებით
უბუნტუს	უბუნ ტუ ს
ანგელოზის	ანგელოზ ის
კუნთებს	კუნ თ ებს
შესწევს	შეს წევ ს
შეცნობის	შე ცნობ ის
რომა	რო მ ა
ანდრეს	ანდრე ს
ლერწმის	ლერ წმ ის
უკანასკნელნი	უკანა სკნელ ნი
ყოველკვირეული	ყოველ კვირე ული
სამსჯავროს	სამ სჯავრ ოს
დაარსებულია	და არსებ ულია
შეიძინა	შეი ძინ ა
იმპერიამ	იმპერ ი ამ
აეყვანა	ა ეყვან ა
ექსპედიციაში	ექსპ ედიცი აში
დაზიანების	და ზიანებ ის
დარგების	და რგ ების
იქცა	იქც ა
კაცისაგან	კაც ისაგან
გააძლიერა	გაა ძლიერ ა
ფერებია	ფერ ებია
ფრიზის	ფრი ზ ის
დამნაშავეს	დამნაშავ ე ს
ყოველწლიურად	ყოველ წლიურ ად
ლეონარდო	ლე ონარდ ო
ავტორებად	ავტორ ებად
შემოსულმა	შემო სულ მა
მეჯუდის	მე ჯუდ ის
წარწერები	წარ წერ ები
გენუელი	გე ნუ ელი
წვლილს	წვ ლილ ს
ათი	ათ ი
წყალმცირეა	წყალ მცირ ეა
მერიდიანული	მერი დიან ული
მსმენელების	მს მენელ ების
რეპლიკატორთა	რეპლი კატორ თა
ფრენები	ფრენ ები
მივიღეთ	მი ვიღ ეთ
