იტალიასთან	იტალი ა სთან
გვირგვინის	გვირგვინ ის
მენსტრუაციის	მენსტრუ აციის
მეძავი	მეძ ავი
მოსვლასთან	მოსვლ ა სთან
ოპერატიული	ოპერატი ული
ანტარქტიდული	ანტარქტიდ ული
გამსჭვალული	გამსჭვალ ული
იუსტიციაში	იუსტიცი აში
პოპულაციების	პოპულაცი ების
დამახინჯებული	დამახინჯ ებული
ხუმრობას	ხუმრობ ას
დასადასტურებლად	დასადასტურ ებლად
რეგიონებს	რეგიონ ებს
კანონებით	კანონ ებით
მოთხრობაში	მოთხრობ აში
